RUNSTARTED,1658190607,7/18/2022 20:30,,,,,,,,,,,,
RUNENDED,1658190628,STOP IMMEDIATE PRESSED,,,,,,,,,,,,
RUNSTARTED,1658190693,7/18/2022 20:31,,,,,,,,,,,,
,,,,,Conc,Abs,,Dil,,,,,,
RESULT,14,U10,MSM_TR_LysB_10cm,30,0.083248,0.037168,0,0,0,512,mg P/L,o-PHOS 0.3,1658211284,7/19/2022 2:14
RESULT,15,U11,MSM_TR_LysC_10cm,31,0.072341,0.032526,0,0,0,512,mg P/L,o-PHOS 0.3,1658211365,7/19/2022 2:16
RESULT,16,U12,MSM_TR_LysA_20cm,32,0.091089,0.040506,0,0,0,512,mg P/L,o-PHOS 0.3,1658211446,7/19/2022 2:17
RESULT,16,C13,Duplicate,33,0.084692,0.037783,0,0,0,512,mg P/L,o-PHOS 0.3,1658211528,7/19/2022 2:18
QCPRORESULT,DUPLICATE,7.278051,1658211528,,,,,,,,,,,
QCPRODECISION,IN,1658211528,,,,,,,,,,,,
RESULT,16,C14,Auto Spike,34,0.911546,0.378098,0,0,0,512,mg P/L,o-PHOS 0.3,1658211609,7/19/2022 2:20
QCPRORESULT,AUTO SPIKE,539.774048,1658211609,,,,,,,,,,,
QCPRODECISION,OUT,1658211609,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658211609,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658211610,,,,,,,,,,,,
AUTODILUTION,ADDED,1658211610,,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,35,0.134208,0.058859,0,0,0,512,mg P/L,o-PHOS 0.3,1658211691,7/19/2022 2:21
QCPRORESULT,NORMAL,0.000792,1658211691,,,,,,,,,,,
QCPRODECISION,OUT,1658211691,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658211691,,,,,,,,,,,,
RESULT,-3,C12,Blank,36,-0.001199,0.001225,0,0,0,512,mg P/L,o-PHOS 0.3,1658211773,7/19/2022 2:22
QCPRORESULT,NORMAL,0,1658211773,,,,,,,,,,,
QCPRODECISION,IN,1658211773,,,,,,,,,,,,
RESULT,17,U13,MSM_TR_LysB_20cm,37,0.064477,0.029179,0,0,0,512,mg P/L,o-PHOS 0.3,1658211855,7/19/2022 2:24
RESULT,18,U14,MSM_TR_LysC_20cm,38,0.081284,0.036333,0,0,0,512,mg P/L,o-PHOS 0.3,1658211936,7/19/2022 2:25
RESULT,19,U15,MSM_TR_LysA_45cm,39,0.089405,0.039789,0,0,0,512,mg P/L,o-PHOS 0.3,1658212017,7/19/2022 2:26
RESULT,19,C13,Duplicate,40,1.129033,0.482296,0,0,0,512,mg P/L,o-PHOS 0.3,1658212099,7/19/2022 2:28
QCPRORESULT,DUPLICATE,170.649292,1658212099,,,,,,,,,,,
QCPRODECISION,OUT,1658212099,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658212099,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658212100,,,,,,,,,,,,
AUTODILUTION,ADDED,1658212100,,,,,,,,,,,,
RESULT,19,C14,Auto Spike,41,0.76497,0.317579,0,0,0,512,mg P/L,o-PHOS 0.3,1658212180,7/19/2022 2:29
QCPRORESULT,AUTO SPIKE,444.4505,1658212180,,,,,,,,,,,
QCPRODECISION,OUT,1658212180,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658212180,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658212181,,,,,,,,,,,,
AUTODILUTION,ADDED,1658212181,,,,,,,,,,,,
RESULT,20,U16,MSM_TR_LysB_45cm,42,0.092958,0.041302,0,0,0,512,mg P/L,o-PHOS 0.3,1658212263,7/19/2022 2:31
RESULT,21,U17,MSM_TR_LysC_45cm,43,0.181122,0.078828,0,0,0,512,mg P/L,o-PHOS 0.3,1658212344,7/19/2022 2:32
RESULT,22,U18,MSM_WC_SipA_10cm,44,0.018832,0.009751,0,0,0,512,mg P/L,o-PHOS 0.3,1658212425,7/19/2022 2:33
RESULT,22,C13,Duplicate,45,0.015765,0.008445,0,0,0,512,mg P/L,o-PHOS 0.3,1658212505,7/19/2022 2:35
QCPRORESULT,DUPLICATE,17.729143,1658212505,,,,,,,,,,,
QCPRODECISION,OUT,1658212505,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658212505,,,,,,,,,,,,
RESULT,22,C14,Auto Spike,46,1.540746,0.637885,0,0,0,512,mg P/L,o-PHOS 0.3,1658212588,7/19/2022 2:36
QCPRORESULT,AUTO SPIKE,1001.25946,1658212588,,,,,,,,,,,
QCPRODECISION,OUT,1658212588,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658212588,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658212589,,,,,,,,,,,,
AUTODILUTION,ADDED,1658212589,,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,47,0.133526,0.058569,0,0,0,512,mg P/L,o-PHOS 0.3,1658212670,7/19/2022 2:37
QCPRORESULT,NORMAL,0.001474,1658212670,,,,,,,,,,,
QCPRODECISION,OUT,1658212670,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658212670,,,,,,,,,,,,
RESULT,-3,C12,Blank,48,-0.001182,0.001232,0,0,0,512,mg P/L,o-PHOS 0.3,1658212752,7/19/2022 2:39
QCPRORESULT,NORMAL,0,1658212752,,,,,,,,,,,
QCPRODECISION,IN,1658212752,,,,,,,,,,,,
RESULT,23,U19,MSM_WC_SipB_10cm,49,0.039358,0.018487,0,0,0,512,mg P/L,o-PHOS 0.3,1658212834,7/19/2022 2:40
RESULT,24,U20,MSM_WC_SipC_10cm,50,0.059189,0.026928,0,0,0,512,mg P/L,o-PHOS 0.3,1658212915,7/19/2022 2:41
RESULT,25,U21,MSM_WC_SipA_20cm,51,0.051358,0.023595,0,0,0,512,mg P/L,o-PHOS 0.3,1658212995,7/19/2022 2:43
RESULT,25,C13,Duplicate,52,0.037222,0.017578,0,0,0,512,mg P/L,o-PHOS 0.3,1658213076,7/19/2022 2:44
QCPRORESULT,DUPLICATE,31.91782,1658213076,,,,,,,,,,,
QCPRODECISION,OUT,1658213076,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658213076,,,,,,,,,,,,
RESULT,25,C14,Auto Spike,53,0.829242,0.344116,0,0,0,512,mg P/L,o-PHOS 0.3,1658213158,7/19/2022 2:45
QCPRORESULT,AUTO SPIKE,511.76532,1658213158,,,,,,,,,,,
QCPRODECISION,OUT,1658213158,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658213158,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658213159,,,,,,,,,,,,
AUTODILUTION,ADDED,1658213159,,,,,,,,,,,,
RESULT,26,U22,MSM_WC_SipB_20cm,54,0.115554,0.05092,0,0,0,512,mg P/L,o-PHOS 0.3,1658213240,7/19/2022 2:47
RESULT,27,U23,MSM_WC_SipC_20cm,55,0.113684,0.050124,0,0,0,512,mg P/L,o-PHOS 0.3,1658213322,7/19/2022 2:48
RESULT,28,U24,MSM_WC_SipC_45cm,56,0.072649,0.032657,0,0,0,512,mg P/L,o-PHOS 0.3,1658213403,7/19/2022 2:50
RESULT,28,C13,Duplicate,57,0.060704,0.027573,0,0,0,512,mg P/L,o-PHOS 0.3,1658213484,7/19/2022 2:51
QCPRORESULT,DUPLICATE,17.91518,1658213484,,,,,,,,,,,
QCPRODECISION,OUT,1658213484,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658213484,,,,,,,,,,,,
RESULT,28,C14,Auto Spike,58,0.691282,0.287154,0,0,0,512,mg P/L,o-PHOS 0.3,1658213566,7/19/2022 2:52
QCPRORESULT,AUTO SPIKE,406.995392,1658213566,,,,,,,,,,,
QCPRODECISION,OUT,1658213566,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658213566,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658213568,,,,,,,,,,,,
AUTODILUTION,ADDED,1658213568,,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,59,0.137502,0.060261,0,0,0,512,mg P/L,o-PHOS 0.3,1658213648,7/19/2022 2:54
QCPRORESULT,NORMAL,0,1658213648,,,,,,,,,,,
QCPRODECISION,IN,1658213648,,,,,,,,,,,,
RESULT,-3,C12,Blank,60,-0.001069,0.00128,0,0,0,512,mg P/L,o-PHOS 0.3,1658213731,7/19/2022 2:55
QCPRORESULT,NORMAL,0,1658213731,,,,,,,,,,,
QCPRODECISION,IN,1658213731,,,,,,,,,,,,
RESULT,29,U25,MSM_UP_RHZ_SF_1,61,0.164148,0.071603,0,0,0,512,mg P/L,o-PHOS 0.3,1658213813,7/19/2022 2:56
RESULT,30,U26,MSM_UP_RHZ_SF_2,62,0.078115,0.034984,0,0,0,512,mg P/L,o-PHOS 0.3,1658213894,7/19/2022 2:58
RESULT,31,U27,MSM_UP_RHZ_SF_3,63,0.095827,0.042523,0,0,0,512,mg P/L,o-PHOS 0.3,1658213976,7/19/2022 2:59
RESULT,32,U28,MSM_UP_RHZ_SF_4,64,0.073032,0.03282,0,0,0,512,mg P/L,o-PHOS 0.3,1658214056,7/19/2022 3:00
RESULT,33,U29,MSM_UP_RHZ_SF_5,65,0.087225,0.038861,0,0,0,512,mg P/L,o-PHOS 0.3,1658214138,7/19/2022 3:02
RESULT,34,U30,MSM_UP_RHZ_SF_6,66,0.073876,0.03318,0,0,0,512,mg P/L,o-PHOS 0.3,1658214219,7/19/2022 3:03
RESULT,35,U31,MSM_UP_RHZ_SF_7,67,0.098008,0.043451,0,0,0,512,mg P/L,o-PHOS 0.3,1658214300,7/19/2022 3:05
RESULT,36,U32,MSM_UP_RHZ_SF_8,68,0.076232,0.034182,0,0,0,512,mg P/L,o-PHOS 0.3,1658214380,7/19/2022 3:06
RESULT,36,C13,Duplicate,69,0.075741,0.033974,0,0,0,512,mg P/L,o-PHOS 0.3,1658214462,7/19/2022 3:07
QCPRORESULT,DUPLICATE,0.645305,1658214462,,,,,,,,,,,
QCPRODECISION,IN,1658214462,,,,,,,,,,,,
RESULT,36,C14,Auto Spike,70,0.691229,0.287132,0,0,0,512,mg P/L,o-PHOS 0.3,1658214544,7/19/2022 3:09
QCPRORESULT,AUTO SPIKE,404.603302,1658214544,,,,,,,,,,,
QCPRODECISION,OUT,1658214544,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658214544,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658214546,,,,,,,,,,,,
AUTODILUTION,ADDED,1658214546,,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,71,0.134179,0.058847,0,0,0,512,mg P/L,o-PHOS 0.3,1658214627,7/19/2022 3:10
QCPRORESULT,NORMAL,0.000821,1658214627,,,,,,,,,,,
QCPRODECISION,OUT,1658214627,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658214627,,,,,,,,,,,,
RESULT,-3,C12,Blank,72,-0.00125,0.001203,0,0,0,512,mg P/L,o-PHOS 0.3,1658214710,7/19/2022 3:11
QCPRORESULT,NORMAL,0,1658214710,,,,,,,,,,,
QCPRODECISION,IN,1658214710,,,,,,,,,,,,
RESULT,37,U33,MSM_TR_RHZ_SF_1,73,0.042616,0.019874,0,0,0,512,mg P/L,o-PHOS 0.3,1658214792,7/19/2022 3:13
RESULT,38,U34,MSM_TR_RHZ_SF_2,74,0.049723,0.022899,0,0,0,512,mg P/L,o-PHOS 0.3,1658214873,7/19/2022 3:14
RESULT,39,U35,MSM_TR_RHZ_SF_3,75,0.072018,0.032389,0,0,0,512,mg P/L,o-PHOS 0.3,1658214954,7/19/2022 3:15
RESULT,40,U36,MSM_TR_RHZ_SF_4,76,0.105576,0.046672,0,0,0,512,mg P/L,o-PHOS 0.3,1658215035,7/19/2022 3:17
RESULT,41,U37,MSM_TR_RHZ_SF_5,77,0.082807,0.036981,0,0,0,512,mg P/L,o-PHOS 0.3,1658215115,7/19/2022 3:18
RESULT,42,U38,MSM_TR_RHZ_SF_6,78,0.067741,0.030568,0,0,0,512,mg P/L,o-PHOS 0.3,1658215196,7/19/2022 3:19
RESULT,43,U39,MSM_TR_RHZ_SF_7,79,0.046422,0.021494,0,0,0,512,mg P/L,o-PHOS 0.3,1658215277,7/19/2022 3:21
RESULT,44,U40,MSM_TR_RHZ_SF_8,80,0.043247,0.020142,0,0,0,512,mg P/L,o-PHOS 0.3,1658215357,7/19/2022 3:22
RESULT,44,C13,Duplicate,81,0.033332,0.015922,0,0,0,512,mg P/L,o-PHOS 0.3,1658215438,7/19/2022 3:23
QCPRORESULT,DUPLICATE,25.89505,1658215438,,,,,,,,,,,
QCPRODECISION,OUT,1658215438,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658215438,,,,,,,,,,,,
RESULT,44,C14,Auto Spike,82,1.77773,0.735731,0,0,0,512,mg P/L,o-PHOS 0.3,1658215521,7/19/2022 3:25
QCPRORESULT,AUTO SPIKE,1141.1073,1658215521,,,,,,,,,,,
QCPRODECISION,OUT,1658215521,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658215521,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658215523,,,,,,,,,,,,
AUTODILUTION,ADDED,1658215523,,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,83,0.134138,0.058829,0,0,0,512,mg P/L,o-PHOS 0.3,1658215605,7/19/2022 3:26
QCPRORESULT,NORMAL,0.000862,1658215605,,,,,,,,,,,
QCPRODECISION,OUT,1658215605,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658215605,,,,,,,,,,,,
RESULT,-3,C12,Blank,84,-0.001108,0.001263,0,0,0,512,mg P/L,o-PHOS 0.3,1658215687,7/19/2022 3:28
QCPRORESULT,NORMAL,0,1658215687,,,,,,,,,,,
QCPRODECISION,IN,1658215687,,,,,,,,,,,,
RESULT,45,U41,Matrix_Check_10ppt_A,85,0.003995,0.003435,0,0,0,512,mg P/L,o-PHOS 0.3,1658215770,7/19/2022 3:29
RESULT,45,C14,Auto Spike,86,0.113242,0.048491,0,0,0,512,mg P/L,o-PHOS 0.3,1658215851,7/19/2022 3:30
QCPRORESULT,AUTO SPIKE,71.873062,1658215851,,,,,,,,,,,
QCPRODECISION,IN,1658215851,,,,,,,,,,,,
RESULT,46,U42,Matrix_Check_10ppt_B,87,0.004282,0.003557,0,0,0,512,mg P/L,o-PHOS 0.3,1658215934,7/19/2022 3:32
RESULT,46,C14,Auto Spike,88,0.113453,0.048578,0,0,0,512,mg P/L,o-PHOS 0.3,1658216015,7/19/2022 3:33
QCPRORESULT,AUTO SPIKE,71.823524,1658216015,,,,,,,,,,,
QCPRODECISION,IN,1658216015,,,,,,,,,,,,
RESULT,47,U43,Matrix_Check_20ppt_A,89,0.000552,0.00197,0,0,0,512,mg P/L,o-PHOS 0.3,1658216054,7/19/2022 3:34
RESULT,47,C14,Auto Spike,90,0.111425,0.047741,0,0,0,512,mg P/L,o-PHOS 0.3,1658216134,7/19/2022 3:35
QCPRORESULT,AUTO SPIKE,72.942917,1658216134,,,,,,,,,,,
QCPRODECISION,IN,1658216134,,,,,,,,,,,,
RESULT,48,U44,Matrix_Check_20ppt_B,91,0.000328,0.001874,0,0,0,512,mg P/L,o-PHOS 0.3,1658216214,7/19/2022 3:36
RESULT,48,C14,Auto Spike,92,0.113371,0.048544,0,0,0,512,mg P/L,o-PHOS 0.3,1658216294,7/19/2022 3:38
QCPRORESULT,AUTO SPIKE,74.370651,1658216294,,,,,,,,,,,
QCPRODECISION,IN,1658216294,,,,,,,,,,,,
RESULT,49,U45,peCheck_706ppmNO3_948ppmNH4_818ppmPO4,93,0.745772,0.319165,0,0,0,531,mg P/L,o-PHOS 0.3,1658216374,7/19/2022 3:39
AUTODILUTION,APPROVED,1658216374,,,,,,,,,,,,
AUTODILUTION,ADDED,1658216374,,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,94,0.134409,0.058945,0,0,0,512,mg P/L,o-PHOS 0.3,1658216454,7/19/2022 3:40
QCPRORESULT,NORMAL,0.000591,1658216454,,,,,,,,,,,
QCPRODECISION,OUT,1658216454,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658216454,,,,,,,,,,,,
RESULT,-3,C12,Blank,95,-0.000842,0.001377,0,0,0,512,mg P/L,o-PHOS 0.3,1658216534,7/19/2022 3:42
QCPRORESULT,NORMAL,0,1658216534,,,,,,,,,,,
QCPRODECISION,IN,1658216534,,,,,,,,,,,,
RESULT,9,U5,MSM_UP_LysC_20cm,19,1.798352,0.552097,0,2,0,512,mg N/L,Ammonia 2,1658217743,7/19/2022 4:02
RESULT,28,U24,MSM_WC_SipC_45cm,56,-0.003367,0.009186,0,2,0,512,mg N/L,Ammonia 2,1658217907,7/19/2022 4:05
RESULT,28,C13,Duplicate,57,-0.004416,0.00887,0,2,0,512,mg N/L,Ammonia 2,1658218073,7/19/2022 4:07
QCPRORESULT,DUPLICATE,26.955023,1658218073,,,,,,,,,,,
QCPRODECISION,OUT,1658218073,,,,,,,,,,,,
RESULT,28,C14,Auto Spike,58,1.507594,0.781031,0,2,0,512,mg N/L,Ammonia 2,1658218247,7/19/2022 4:10
QCPRORESULT,AUTO SPIKE,151.096115,1658218247,,,,,,,,,,,
QCPRODECISION,OUT,1658218247,,,,,,,,,,,,
RESULT,5,U1,MSM_UP_LysB_10cm,11,-0.007501,0.001096,0,5,0,530,mg P/L,o-PHOS 0.3,1658218696,7/19/2022 4:18
RESULT,5,C13,Duplicate,12,-0.006687,0.001166,0,5,0,512,mg P/L,o-PHOS 0.3,1658218790,7/19/2022 4:19
QCPRORESULT,DUPLICATE,11.475797,1658218790,,,,,,,,,,,
QCPRODECISION,OUT,1658218790,,,,,,,,,,,,
RESULT,5,C14,Auto Spike,13,0.142123,0.062893,0,5,0,512,mg P/L,o-PHOS 0.3,1658218879,7/19/2022 4:21
QCPRORESULT,AUTO SPIKE,98.436661,1658218879,,,,,,,,,,,
QCPRODECISION,IN,1658218879,,,,,,,,,,,,
RESULT,7,U3,MSM_UP_LysA_20cm,15,-0.005706,0.001249,0,5,0,530,mg P/L,o-PHOS 0.3,1658218968,7/19/2022 4:22
RESULT,7,C13,Duplicate,16,-0.006668,0.001167,0,5,0,512,mg P/L,o-PHOS 0.3,1658219062,7/19/2022 4:24
QCPRORESULT,DUPLICATE,15.549067,1658219062,,,,,,,,,,,
QCPRODECISION,OUT,1658219062,,,,,,,,,,,,
RESULT,7,C14,Auto Spike,17,0.147979,0.064718,0,5,0,512,mg P/L,o-PHOS 0.3,1658219151,7/19/2022 4:25
QCPRORESULT,AUTO SPIKE,101.108459,1658219151,,,,,,,,,,,
QCPRODECISION,IN,1658219151,,,,,,,,,,,,
RESULT,10,U6,MSM_UP_LysA_45cm,20,-0.003289,0.001455,0,5,0,530,mg P/L,o-PHOS 0.3,1658219240,7/19/2022 4:27
RESULT,10,C13,Duplicate,21,-0.00395,0.001399,0,5,0,512,mg P/L,o-PHOS 0.3,1658219334,7/19/2022 4:28
QCPRORESULT,DUPLICATE,18.256275,1658219334,,,,,,,,,,,
QCPRODECISION,OUT,1658219334,,,,,,,,,,,,
RESULT,10,C14,Auto Spike,22,0.140089,0.060662,0,5,0,512,mg P/L,o-PHOS 0.3,1658219422,7/19/2022 4:30
QCPRORESULT,AUTO SPIKE,94.328079,1658219422,,,,,,,,,,,
QCPRODECISION,IN,1658219422,,,,,,,,,,,,
RESULT,13,U9,MSM_TR_LysA_10cm,27,-0.006823,0.001154,0,5,0,530,mg P/L,o-PHOS 0.3,1658219511,7/19/2022 4:31
RESULT,13,C13,Duplicate,28,-0.007312,0.001112,0,5,0,512,mg P/L,o-PHOS 0.3,1658219605,7/19/2022 4:33
QCPRORESULT,DUPLICATE,6.918115,1658219605,,,,,,,,,,,
QCPRODECISION,IN,1658219605,,,,,,,,,,,,
RESULT,13,C14,Auto Spike,29,0.132157,0.058554,0,5,0,512,mg P/L,o-PHOS 0.3,1658219694,7/19/2022 4:34
QCPRORESULT,AUTO SPIKE,91.434364,1658219694,,,,,,,,,,,
QCPRODECISION,IN,1658219694,,,,,,,,,,,,
RESULT,16,U12,MSM_TR_LysA_20cm,32,0.000169,0.001749,0,5,0,512,mg P/L,o-PHOS 0.3,1658219783,7/19/2022 4:36
RESULT,16,C13,Duplicate,33,0.020594,0.003488,0,5,0,512,mg P/L,o-PHOS 0.3,1658219877,7/19/2022 4:37
QCPRORESULT,DUPLICATE,196.740494,1658219877,,,,,,,,,,,
QCPRODECISION,OUT,1658219877,,,,,,,,,,,,
RESULT,16,C14,Auto Spike,34,0.141187,0.059973,0,5,0,512,mg P/L,o-PHOS 0.3,1658219966,7/19/2022 4:39
QCPRORESULT,AUTO SPIKE,92.774963,1658219966,,,,,,,,,,,
QCPRODECISION,IN,1658219966,,,,,,,,,,,,
RESULT,19,U15,MSM_TR_LysA_45cm,39,0.009956,0.002582,0,5,0,512,mg P/L,o-PHOS 0.3,1658220055,7/19/2022 4:40
RESULT,19,C13,Duplicate,40,0.050656,0.006047,0,5,0,512,mg P/L,o-PHOS 0.3,1658220149,7/19/2022 4:42
QCPRORESULT,DUPLICATE,134.299408,1658220149,,,,,,,,,,,
QCPRODECISION,OUT,1658220149,,,,,,,,,,,,
RESULT,19,C14,Auto Spike,41,0.147386,0.0593,0,5,0,512,mg P/L,o-PHOS 0.3,1658220238,7/19/2022 4:43
QCPRORESULT,AUTO SPIKE,90.414932,1658220238,,,,,,,,,,,
QCPRODECISION,IN,1658220238,,,,,,,,,,,,
RESULT,22,U18,MSM_WC_SipA_10cm,44,0.000081,0.001742,0,5,0,512,mg P/L,o-PHOS 0.3,1658220327,7/19/2022 4:45
RESULT,22,C13,Duplicate,45,0.000724,0.001797,0,5,0,512,mg P/L,o-PHOS 0.3,1658220421,7/19/2022 4:47
QCPRORESULT,DUPLICATE,159.863297,1658220421,,,,,,,,,,,
QCPRODECISION,OUT,1658220421,,,,,,,,,,,,
RESULT,22,C14,Auto Spike,46,0.133918,0.057001,0,5,0,512,mg P/L,o-PHOS 0.3,1658220510,7/19/2022 4:48
QCPRORESULT,AUTO SPIKE,88.050644,1658220510,,,,,,,,,,,
QCPRODECISION,IN,1658220510,,,,,,,,,,,,
RESULT,25,U21,MSM_WC_SipA_20cm,51,-0.003561,0.001432,0,5,0,530,mg P/L,o-PHOS 0.3,1658220600,7/19/2022 4:50
RESULT,25,C13,Duplicate,52,-0.006272,0.001201,0,5,0,512,mg P/L,o-PHOS 0.3,1658220693,7/19/2022 4:51
QCPRORESULT,DUPLICATE,55.149918,1658220693,,,,,,,,,,,
QCPRODECISION,OUT,1658220693,,,,,,,,,,,,
RESULT,25,C14,Auto Spike,53,0.137951,0.059869,0,5,0,512,mg P/L,o-PHOS 0.3,1658220783,7/19/2022 4:53
QCPRORESULT,AUTO SPIKE,93.099556,1658220783,,,,,,,,,,,
QCPRODECISION,IN,1658220783,,,,,,,,,,,,
RESULT,28,U24,MSM_WC_SipC_45cm,56,0.005912,0.002238,0,5,0,512,mg P/L,o-PHOS 0.3,1658220873,7/19/2022 4:54
RESULT,28,C13,Duplicate,57,0.007809,0.0024,0,5,0,512,mg P/L,o-PHOS 0.3,1658220967,7/19/2022 4:56
QCPRORESULT,DUPLICATE,27.657148,1658220967,,,,,,,,,,,
QCPRODECISION,OUT,1658220967,,,,,,,,,,,,
RESULT,28,C14,Auto Spike,58,0.146824,0.060404,0,5,0,512,mg P/L,o-PHOS 0.3,1658221056,7/19/2022 4:57
QCPRORESULT,AUTO SPIKE,92.705444,1658221056,,,,,,,,,,,
QCPRODECISION,IN,1658221056,,,,,,,,,,,,
RESULT,36,U32,MSM_UP_RHZ_SF_8,68,0.023432,0.00373,0,5,0,512,mg P/L,o-PHOS 0.3,1658221134,7/19/2022 4:58
RESULT,36,C13,Duplicate,69,-0.000815,0.001666,0,5,0,512,mg P/L,o-PHOS 0.3,1658221214,7/19/2022 5:00
QCPRORESULT,DUPLICATE,214.422485,1658221214,,,,,,,,,,,
QCPRODECISION,OUT,1658221214,,,,,,,,,,,,
RESULT,36,C14,Auto Spike,70,0.162138,0.060939,0,5,0,512,mg P/L,o-PHOS 0.3,1658221294,7/19/2022 5:01
QCPRORESULT,AUTO SPIKE,91.254021,1658221294,,,,,,,,,,,
QCPRODECISION,IN,1658221294,,,,,,,,,,,,
RESULT,44,U40,MSM_TR_RHZ_SF_8,80,-0.002603,0.001513,0,5,0,530,mg P/L,o-PHOS 0.3,1658221374,7/19/2022 5:02
RESULT,44,C13,Duplicate,81,0.003834,0.002061,0,5,0,512,mg P/L,o-PHOS 0.3,1658221454,7/19/2022 5:04
QCPRORESULT,DUPLICATE,1046.019287,1658221454,,,,,,,,,,,
QCPRODECISION,OUT,1658221454,,,,,,,,,,,,
RESULT,44,C14,Auto Spike,82,0.136797,0.059076,0,5,0,512,mg P/L,o-PHOS 0.3,1658221534,7/19/2022 5:05
QCPRORESULT,AUTO SPIKE,91.710266,1658221534,,,,,,,,,,,
QCPRODECISION,IN,1658221534,,,,,,,,,,,,
RESULT,49,U45,peCheck_706ppmNO3_948ppmNH4_818ppmPO4,93,0.80347,0.070133,0,5,0,512,mg P/L,o-PHOS 0.3,1658221614,7/19/2022 5:06
QCPROACTION,CONTINUE,1658221696,,,,,,,,,,,,
