RUNSTARTED,1658165226,7/18/2022 13:27,,,Conc,Abs,,Dilution,,,,,,
RESULT,22,C13,Duplicate,49,0.035588,0.015887,0,0,0,512,mg P/L,o-PHOS 0.3,1658184669,7/18/2022 18:51
QCPRORESULT,DUPLICATE,34.232899,1658184669,,,,,,,,,,,
QCPRODECISION,OUT,1658184669,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658184669,,,,,,,,,,,,
RESULT,22,C14,Auto Spike,50,0.705902,0.281398,0,0,0,512,mg P/L,o-PHOS 0.3,1658184751,7/18/2022 18:52
QCPRORESULT,AUTO SPIKE,431.326538,1658184751,,,,,,,,,,,
QCPRODECISION,OUT,1658184751,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658184751,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658184753,,,,,,,,,,,,
AUTODILUTION,ADDED,1658184753,,,,,,,,,,,,
RESULT,23,U19,GCrew_WC_SipA_45cm_2,51,0.447156,0.184221,0,0,0,531,mg P/L,o-PHOS 0.3,1658184833,7/18/2022 18:53
AUTODILUTION,APPROVED,1658184833,,,,,,,,,,,,
AUTODILUTION,ADDED,1658184833,,,,,,,,,,,,
RESULT,24,U20,GCrew_WC_SipB_45cm,52,0.423561,0.174571,0,0,0,531,mg P/L,o-PHOS 0.3,1658184914,7/18/2022 18:55
AUTODILUTION,APPROVED,1658184914,,,,,,,,,,,,
AUTODILUTION,ADDED,1658184914,,,,,,,,,,,,
RESULT,25,U21,GCrew_WC_SipC_45cm,53,0.265168,0.109787,0,0,0,512,mg P/L,o-PHOS 0.3,1658184995,7/18/2022 18:56
RESULT,26,U22,GCrew_WC_LysA_10cm,54,0.258215,0.106943,0,0,0,512,mg P/L,o-PHOS 0.3,1658185076,7/18/2022 18:57
RESULT,26,C13,Duplicate,55,0.214121,0.088908,0,0,0,512,mg P/L,o-PHOS 0.3,1658185157,7/18/2022 18:59
QCPRORESULT,DUPLICATE,18.670908,1658185157,,,,,,,,,,,
QCPRODECISION,OUT,1658185157,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658185157,,,,,,,,,,,,
RESULT,26,C14,Auto Spike,56,0.55683,0.222254,0,0,0,512,mg P/L,o-PHOS 0.3,1658185239,7/18/2022 19:00
QCPRORESULT,AUTO SPIKE,196.457123,1658185239,,,,,,,,,,,
QCPRODECISION,OUT,1658185239,,,,,,,,,,,,
QCPROACTION,CONTINUE,1658185239,,,,,,,,,,,,
AUTODILUTION,APPROVED,1658185240,,,,,,,,,,,,
AUTODILUTION,ADDED,1658185240,,,,,,,,,,,,
RESULT,27,U23,GCrew_WC_LysA_20cm,57,0.292324,0.120894,0,0,0,512,mg P/L,o-PHOS 0.3,1658185321,7/18/2022 19:02
RESULT,-3,C11,0.15 mg/L,58,0.144487,0.060428,0,0,0,512,mg P/L,o-PHOS 0.3,1658185402,7/18/2022 19:03
QCPRORESULT,NORMAL,0,1658185402,,,,,,,,,,,
QCPRODECISION,IN,1658185402,,,,,,,,,,,,
RESULT,-3,C12,Blank,59,0.001546,0.001964,0,0,0,512,mg P/L,o-PHOS 0.3,1658185484,7/18/2022 19:04
QCPRORESULT,NORMAL,0,1658185484,,,,,,,,,,,
QCPRODECISION,IN,1658185484,,,,,,,,,,,,
RESULT,28,U24,GCrew_WC_LysA_45cm,60,0.701419,0.288217,0,0,0,531,mg P/L,o-PHOS 0.3,1658185567,7/18/2022 19:06
AUTODILUTION,APPROVED,1658185567,,,,,,,,,,,,
AUTODILUTION,ADDED,1658185567,,,,,,,,,,,,
RESULT,29,U25,Matrix_Check_10ppt_A,61,0.005087,0.003412,0,0,0,512,mg P/L,o-PHOS 0.3,1658185649,7/18/2022 19:07
RESULT,29,C14,Auto Spike,62,0.118641,0.048402,0,0,0,512,mg P/L,o-PHOS 0.3,1658185729,7/18/2022 19:08
QCPRORESULT,AUTO SPIKE,74.706253,1658185729,,,,,,,,,,,
QCPRODECISION,IN,1658185729,,,,,,,,,,,,
RESULT,30,U26,Matrix_Check_10ppt_B,63,0.004081,0.003001,0,0,0,512,mg P/L,o-PHOS 0.3,1658185812,7/18/2022 19:10
RESULT,30,C14,Auto Spike,64,0.119456,0.048725,0,0,0,512,mg P/L,o-PHOS 0.3,1658185893,7/18/2022 19:11
QCPRORESULT,AUTO SPIKE,75.904327,1658185893,,,,,,,,,,,
QCPRODECISION,IN,1658185893,,,,,,,,,,,,
RESULT,31,U27,Matrix_Check_20ppt_A,65,0.00063,0.001589,0,0,0,512,mg P/L,o-PHOS 0.3,1658185975,7/18/2022 19:12
RESULT,31,C14,Auto Spike,66,0.115846,0.047293,0,0,0,512,mg P/L,o-PHOS 0.3,1658186057,7/18/2022 19:14
QCPRORESULT,AUTO SPIKE,75.799995,1658186057,,,,,,,,,,,
QCPRODECISION,IN,1658186057,,,,,,,,,,,,
RESULT,32,U28,Matrix_Check_20ppt_B,67,0.000811,0.001663,0,0,0,512,mg P/L,o-PHOS 0.3,1658186139,7/18/2022 19:15
RESULT,32,C14,Auto Spike,68,0.112215,0.045853,0,0,0,512,mg P/L,o-PHOS 0.3,1658186176,7/18/2022 19:16
QCPRORESULT,AUTO SPIKE,73.292297,1658186176,,,,,,,,,,,
QCPRODECISION,IN,1658186176,,,,,,,,,,,,
RESULT,33,U29,peCheck_706ppmNO3_948ppmNH4_818ppmPO4pe,69,0.79617,0.326971,0,0,0,531,mg P/L,o-PHOS 0.3,1658186257,7/18/2022 19:17
AUTODILUTION,APPROVED,1658186257,,,,,,,,,,,,
AUTODILUTION,ADDED,1658186257,,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,70,0.139672,0.058458,0,0,0,512,mg P/L,o-PHOS 0.3,1658186336,7/18/2022 19:18
QCPRORESULT,NORMAL,0,1658186336,,,,,,,,,,,
QCPRODECISION,IN,1658186336,,,,,,,,,,,,
RESULT,-3,C12,Blank,71,-0.000387,0.001173,0,0,0,512,mg P/L,o-PHOS 0.3,1658186416,7/18/2022 19:20
QCPRORESULT,NORMAL,0,1658186416,,,,,,,,,,,
QCPRODECISION,IN,1658186416,,,,,,,,,,,,
RESULT,34,U30,peCheck_706ppmNO3_948ppmNH4_818ppmPO4pe,72,0.7993,0.328251,0,0,0,531,mg P/L,o-PHOS 0.3,1658186496,7/18/2022 19:21
AUTODILUTION,APPROVED,1658186496,,,,,,,,,,,,
AUTODILUTION,ADDED,1658186496,,,,,,,,,,,,
RESULT,-3,C11,0.15 mg/L,73,0.138274,0.057887,0,0,0,512,mg P/L,o-PHOS 0.3,1658186576,7/18/2022 19:22
QCPRORESULT,NORMAL,0,1658186576,,,,,,,,,,,
QCPRODECISION,IN,1658186576,,,,,,,,,,,,
RESULT,-3,C12,Blank,74,0.000098,0.001372,0,0,0,512,mg P/L,o-PHOS 0.3,1658186656,7/18/2022 19:24
QCPRORESULT,NORMAL,0,1658186656,,,,,,,,,,,
QCPRODECISION,IN,1658186656,,,,,,,,,,,,
RESULT,16,U12,GCrew_WC_SipA_10cm,36,-0.002655,0.001114,0,5,0,18,mg P/L,o-PHOS 0.3,1658187713,7/18/2022 19:41
RESULT,16,C13,Duplicate,37,-0.002335,0.00114,0,5,0,512,mg P/L,o-PHOS 0.3,1658187807,7/18/2022 19:43
QCPRORESULT,DUPLICATE,12.812012,1658187807,,,,,,,,,,,
QCPRODECISION,OUT,1658187807,,,,,,,,,,,,
RESULT,16,C14,Auto Spike,38,0.159591,0.065492,0,5,0,512,mg P/L,o-PHOS 0.3,1658187896,7/18/2022 19:44
QCPRORESULT,AUTO SPIKE,106.740471,1658187896,,,,,,,,,,,
QCPRODECISION,IN,1658187896,,,,,,,,,,,,
RESULT,19,U15,GCrew_WC_SipA_20cm,41,-0.00044,0.001296,0,5,0,530,mg P/L,o-PHOS 0.3,1658187985,7/18/2022 19:46
RESULT,19,C13,Duplicate,42,-0.000178,0.001317,0,5,0,512,mg P/L,o-PHOS 0.3,1658188074,7/18/2022 19:47
QCPRORESULT,DUPLICATE,84.672211,1658188074,,,,,,,,,,,
QCPRODECISION,OUT,1658188074,,,,,,,,,,,,
RESULT,19,C14,Auto Spike,43,0.162754,0.066044,0,5,0,512,mg P/L,o-PHOS 0.3,1658188163,7/18/2022 19:49
QCPRORESULT,AUTO SPIKE,107.364296,1658188163,,,,,,,,,,,
QCPRODECISION,IN,1658188163,,,,,,,,,,,,
RESULT,22,U18,GCrew_WC_SipA_45cm,48,-0.001854,0.00118,0,5,0,530,mg P/L,o-PHOS 0.3,1658188257,7/18/2022 19:50
RESULT,22,C13,Duplicate,49,-0.001167,0.001236,0,5,0,512,mg P/L,o-PHOS 0.3,1658188345,7/18/2022 19:52
QCPRORESULT,DUPLICATE,45.440105,1658188345,,,,,,,,,,,
QCPRODECISION,OUT,1658188345,,,,,,,,,,,,
RESULT,22,C14,Auto Spike,50,0.157526,0.064418,0,5,0,512,mg P/L,o-PHOS 0.3,1658188434,7/18/2022 19:53
QCPRORESULT,AUTO SPIKE,104.855194,1658188434,,,,,,,,,,,
QCPRODECISION,IN,1658188434,,,,,,,,,,,,
RESULT,23,U19,GCrew_WC_SipA_45cm_2,51,0.489206,0.041349,0,5,0,512,mg P/L,o-PHOS 0.3,1658188522,7/18/2022 19:55
RESULT,24,U20,GCrew_WC_SipB_45cm,52,0.442157,0.037501,0,5,0,512,mg P/L,o-PHOS 0.3,1658188599,7/18/2022 19:56
RESULT,26,U22,GCrew_WC_LysA_10cm,54,-0.000658,0.001278,0,5,0,530,mg P/L,o-PHOS 0.3,1658188679,7/18/2022 19:57
RESULT,26,C13,Duplicate,55,-0.00071,0.001273,0,5,0,512,mg P/L,o-PHOS 0.3,1658188759,7/18/2022 19:59
QCPRORESULT,DUPLICATE,7.69117,1658188759,,,,,,,,,,,
QCPRODECISION,IN,1658188759,,,,,,,,,,,,
RESULT,26,C14,Auto Spike,56,0.162253,0.065914,0,5,0,512,mg P/L,o-PHOS 0.3,1658188839,7/18/2022 20:00
QCPRORESULT,AUTO SPIKE,107.178421,1658188839,,,,,,,,,,,
QCPRODECISION,IN,1658188839,,,,,,,,,,,,
RESULT,28,U24,GCrew_WC_LysA_45cm,60,0.817313,0.068189,0,5,0,512,mg P/L,o-PHOS 0.3,1658188919,7/18/2022 20:01
RESULT,33,U29,peCheck_706ppmNO3_948ppmNH4_818ppmPO4pe,69,0.929474,0.077364,0,5,0,512,mg P/L,o-PHOS 0.3,1658188999,7/18/2022 20:03
RESULT,34,U30,peCheck_706ppmNO3_948ppmNH4_818ppmPO4pe,72,0.89814,0.074801,0,5,0,512,mg P/L,o-PHOS 0.3,1658189079,7/18/2022 20:04
RUNENDED,1658189161,COMPLETE,,,,,,,,,,,,
